,name,address
364,파계사 공영주차장 전기차충전소,대구 동구 파계로 686
365,Tesla 대구 수퍼차저,대구 북구 엑스코로 10
366,대덕맨션2차 전기차충전소,대구 남구 앞산순환로 655
367,동화사(동화사 집단시설지구 씨네80 극장 출구 주차장) 전기차충전소,대구 동구 팔공산로 1184
368,코스트코 대구혁신도시점 전기차충전소,대구 동구 첨단로 10
369,연경지구LH뉴웰시티아파트 전기차충전소,대구 동구 지묘동 1352-2
370,관음동한양수정아파트 전기차충전소,대구 북구 구암로 17
371,시지두레타운 입주자대표회의 전기차충전소,대구 수성구 천을로 131
372,현풍백년도깨비시장 공영주차장 전기차충전소,대구 달성군 현풍읍 현풍로6길 5
373,3호선 칠곡차량기지 전기차충전소,대구 북구 동호동 136-1
374,서대구역남측주차장 전기차충전소,대구 서구 와룡로 527
375,귀빈맨션103동앞주차장 전기차충전소,대구 달서구 월배로32안길 61
376,네이처파크 스파벨리 전기차충전소,대구 달성군 가창면 가창로 891
377,대구시 동부소방서 전기차충전소,대구 동구 신천동 73
378,시지근린공원 공영주차장 전기차충전소,대구 수성구 달구벌대로637길 5
379,수성소방서 전기차충전소,대구 수성구 청호로 87 건물 남측 1층 주차장
380,수성관광호텔 주차타워 A1 B1 구역 전기차충전소,대구 수성구 용학로 106-7
381,차량등록사업소1 전기차충전소,대구 수성구 만촌동 1429-9
382,비슬산자연휴양림공영주차장 전기차충전소,대구 달성군 유가읍 용리 15
383,대구시설공단 신천둔치관리소 전기차충전소,대구 수성구 수성동1가 649-43 주차장
384,반야월자동차정비공장 전기차충전소,대구 동구 안심로55길 52
385,대구혁신도시서한이다음3차아파트 전기차충전소,대구 동구 혁신대로 443 701동 지하1층 주차장
386,차량등록사업소 서부분소 전기차충전소,대구 달서구 이곡동 1252-3 입구 좌측
387,시지삼주한라협화타운 전기차충전소,대구 수성구 신매로 91 지하1층 주차장
388,한국농어촌공사 경북지역본부 주차장 전기차충전소,대구 북구 구암동 651
389,대구시 북구 무태골프연습장 전기차충전소,대구 북구 서변동 1267
390,귀빈맨션103동앞주차장 전기차충전소,대구 달서구 월배로32안길 61
391,네이처파크 스파벨리 전기차충전소,대구 달성군 가창면 가창로 891
392,대구시 동부소방서 전기차충전소,대구 동구 신천동 73
393,시지근린공원 공영주차장 전기차충전소,대구 수성구 달구벌대로637길 5
394,수성소방서 전기차충전소,대구 수성구 청호로 87 건물 남측 1층 주차장
395,수성관광호텔 주차타워 A1 B1 구역 전기차충전소,대구 수성구 용학로 106-7
396,차량등록사업소1 전기차충전소,대구 수성구 만촌동 1429-9
397,비슬산자연휴양림공영주차장 전기차충전소,대구 달성군 유가읍 용리 15
398,대구시설공단 신천둔치관리소 전기차충전소,대구 수성구 수성동1가 649-43 주차장
399,반야월자동차정비공장 전기차충전소,대구 동구 안심로55길 52
400,대구혁신도시서한이다음3차아파트 전기차충전소,대구 동구 혁신대로 443 701동 지하1층 주차장
401,차량등록사업소 서부분소 전기차충전소,대구 달서구 이곡동 1252-3 입구 좌측
402,시지삼주한라협화타운 전기차충전소,대구 수성구 신매로 91 지하1층 주차장
403,한국농어촌공사 경북지역본부 주차장 전기차충전소,대구 북구 구암동 651
404,대구시 북구 무태골프연습장 전기차충전소,대구 북구 서변동 1267
405,한국도로공사 유천IC 전기차충전소,대구 달성군 화원읍 구라리 1118-8
406,대구종합유통단지 전기조명관사업협동조합 전기차충전소,대구 북구 유통단지로 50
407,옥포미진이지비아 전기차충전소,대구 달성군 옥포읍 비슬로447길 56 지하주차장
